address,points,boost
0x95C602547721BD879B0303c7561063916946A634,407.56,0.1
0x6b7Bf3d4d5711B424c8B625094Cf80319Dc11D68,403.62,0.375
0x37344520a2C9A9739c5B01a8106B3b9ff63E68e0,403.58,0.375
0x0339eF4E90856A154e1E8e573883E5a9a5925Ae2,402.82,0.5
0x11d2bC1c484e3C46227379Ad5145FB482F07be69,401.74,0.1
0x7a35075eeF226575912A5f081DBc3D5CfCE2aA9F,400.13,0.375
0x31CC42f9d3ce45b47a0c5D6Bc3392286B2B0a50A,398.27,0.1
0xc0e2624B3614D7b77690Fb3873702f7AC98CAe47,396.83,0.375
0xC9684bb659a9Eae86Ba8f558Fe2aCe21cf50CBb8,396.36,0.1
0x787e10bbd51487CD23cB660259b0fB52F185E553,395.72,0.1
0x4AfefEFB16BCe1Bd94240BC2973Bb4d863328d6c,393.64,0.1
0xd8AC87f4D278f8D26B977D21eEC131Be276f3497,393.1,0.375
0x3d7D7E685C73e821C3B434592F3868e68D82AD06,390.77,0
0x72A8d69bFD12676c41E5E03e421a7AfafCdC57d3,388.28,0.1
0xFB2cf2fDF25E1722000803bbAeEB27308f76538f,388.28,0.1
0x44F0cafeff43cdE5f1CBd11Ed997b17860c66963,387.94,0
0xA16A1f48426Da291360FC3b314dA6048751122f4,387.89,0.25
0x090d65A27CfF2dbFeA0d8C26d2561ec56a067831,386.01,0.1
0x8B5686F603D3adC1DEF9870b8d3a2C1c98be9440,385.28,0
0x788B801696f2D1F2C78a80175e798AEa1e448D7C,384.27,0.65
0x23FC15be330619D5102Eb1dc5140C4E7cb4f1dB0,381.4,0
0xA26D075E3f0786B0E4F43c22C86693754C2833D8,379.89,0.1
0x7356b2a642dbC101050dCA9dBDB455f22673c27B,376.39,0
0x91735f4F5f0597AC2e35Ca5F98eE1E9c004b69b1,374.77,0.1
0x94C13178C98FFC09CF8f4FD677D46DA1FF3830a1,374.57,0
0x512f566A514E30538785f2e4670a54446C940133,373.61,0.1
0xE50DBea4eB86546f071e2169FBa50ebf9f2b0e64,371.4,0
0x6Ce28Fb3ee53804DFd0BC18EB483097c45fB95d9,362.96,0.1
0x81999B53D7ef316aF18BD57b73c79f16bf880ec3,356.55,0.1
0x9904A1Dd267c5F9FDD06818eB4e299Db56a7B5E3,354.95,0
0xE900292d3b949f9874E3FCe32D05d34759d3d5d8,353.21,0
